,Delivery Date,Generator,Fuel Type,Measurement,Hour 1,Hour 2,Hour 3,Hour 4,Hour 5,Hour 6,Hour 7,Hour 8,Hour 9,Hour 10,Hour 11,Hour 12,Hour 13,Hour 14,Hour 15,Hour 16,Hour 17,Hour 18,Hour 19,Hour 20,Hour 21,Hour 22,Hour 23,Hour 24
0,2020-01-01,ABKENORA,HYDRO,Capability,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
1,2020-01-01,ABKENORA,HYDRO,Output,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
2,2020-01-01,ADELAIDE,WIND,Available Capacity,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
3,2020-01-01,ADELAIDE,WIND,Forecast,28,35,32,24,24,20,32,32,26,30,25,21,26,26,37,40,37,39,47,55,49,56,57,57
4,2020-01-01,ADELAIDE,WIND,Output,1,0,0,0,0,0,0,0,0,0,0,18,25,29,38,43,34,43,49,57,51,59,58,57
5,2020-01-01,AGUASABON,HYDRO,Capability,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52,52
6,2020-01-01,AGUASABON,HYDRO,Output,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21,21
7,2020-01-01,ALEXANDER,HYDRO,Capability,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65,65
8,2020-01-01,ALEXANDER,HYDRO,Output,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,57,58,58,58,58,58,58,58,59
9,2020-01-01,AMARANTH,WIND,Available Capacity,199,199,199,9,9,9,199,199,199,199,199,199,199,199,185,185,185,185,185,185,185,185,185,185
10,2020-01-01,AMARANTH,WIND,Forecast,111,80,52,20,4,4,39,32,29,15,8,5,5,5,5,5,6,9,11,15,20,23,41,52
11,2020-01-01,AMARANTH,WIND,Output,102,70,44,21,3,5,39,26,20,12,4,1,1,1,2,3,5,7,9,13,18,23,42,53
12,2020-01-01,AMHERST ISLAND,WIND,Available Capacity,0,0,0,0,0,0,0,0,0,0,0,0,64,64,55,41,45,53,55,50,50,25,15,1
13,2020-01-01,AMHERST ISLAND,WIND,Forecast,62,62,61,60,59,58,56,55,56,58,58,58,65,64,55,55,53,51,55,49,49,28,16,9
14,2020-01-01,AMHERST ISLAND,WIND,Output,0,0,0,0,0,0,0,0,0,0,0,0,64,64,55,41,45,53,55,50,50,25,15,1
15,2020-01-01,APIROQUOIS,HYDRO,Capability,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83,83
16,2020-01-01,APIROQUOIS,HYDRO,Output,32,32,32,32,33,33,33,59,60,60,60,61,62,62,61,61,61,63,63,63,63,62,62,34
17,2020-01-01,ARMOW,WIND,Available Capacity,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180
18,2020-01-01,ARMOW,WIND,Forecast,145,154,152,142,141,128,129,138,121,115,125,147,135,127,127,102,111,127,152,172,171,173,174,173
19,2020-01-01,ARMOW,WIND,Output,6,0,0,0,0,0,0,0,0,0,0,117,138,126,122,99,109,132,159,174,173,174,175,136
20,2020-01-01,ARNPRIOR,HYDRO,Capability,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82,82
21,2020-01-01,ARNPRIOR,HYDRO,Output,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,35,38,1,0,0,0,0
22,2020-01-01,ATIKOKAN-G1,BIOFUEL,Capability,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215,215
23,2020-01-01,ATIKOKAN-G1,BIOFUEL,Output,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,2020-01-01,AUBREYFALLS,HYDRO,Capability,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146,146
25,2020-01-01,AUBREYFALLS,HYDRO,Output,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,2,0,0,0,0,0
26,2020-01-01,BARRETT,HYDRO,Capability,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,176,156,176,176,176,176
27,2020-01-01,BARRETT,HYDRO,Output,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,17,34,36,19,2,0,0,0
28,2020-01-01,BECK1,HYDRO,Capability,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468,468
29,2020-01-01,BECK1,HYDRO,Output,251,251,250,250,249,248,247,247,247,247,248,247,247,247,247,247,247,248,247,247,247,248,249,249
30,2020-01-01,BECK2,HYDRO,Capability,1551,1551,1551,1551,1551,1551,1551,1551,1551,1551,1551,1551,1551,1551,1551,1551,1551,1551,1551,1551,1551,1551,1551,1551
31,2020-01-01,BECK2,HYDRO,Output,935,923,896,885,911,915,929,832,872,831,853,898,914,896,883,877,883,881,879,875,828,833,823,812
32,2020-01-01,BECK2 PGS,HYDRO,Capability,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58,58
33,2020-01-01,BECK2 PGS,HYDRO,Output,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34,2020-01-01,BELLE RIVER,WIND,Available Capacity,25,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100,100
35,2020-01-01,BELLE RIVER,WIND,Forecast,75,77,73,66,66,69,65,60,60,64,66,63,63,65,63,59,58,62,71,78,83,86,89,90
36,2020-01-01,BELLE RIVER,WIND,Output,0,44,2,1,1,1,1,1,1,1,1,3,51,34,31,0,18,74,71,8,3,32,1,0
37,2020-01-01,BLAKE,WIND,Available Capacity,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60,60
38,2020-01-01,BLAKE,WIND,Forecast,54,54,54,47,49,44,43,43,44,40,41,34,36,28,32,23,23,31,50,54,48,48,56,55
39,2020-01-01,BLAKE,WIND,Output,0,0,0,0,0,0,0,0,0,0,0,0,13,12,20,0,11,35,54,33,10,54,20,0
40,2020-01-01,BORNISH,WIND,Available Capacity,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73,73
41,2020-01-01,BORNISH,WIND,Forecast,24,13,24,32,38,17,21,23,30,41,39,39,22,23,32,28,26,47,56,48,45,52,53,56
42,2020-01-01,BORNISH,WIND,Output,9,0,1,0,0,0,0,0,10,39,42,37,22,24,32,0,6,51,34,0,0,17,0,0
43,2020-01-01,BOW LAKE,WIND,Available Capacity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
44,2020-01-01,BOW LAKE,WIND,Forecast,1,1,1,1,1,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0
45,2020-01-01,BOW LAKE,WIND,Output,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
46,2020-01-01,BOW LAKE 2,WIND,Available Capacity,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
47,2020-01-01,BOW LAKE 2,WIND,Forecast,1,3,3,4,2,1,1,2,3,1,0,0,0,0,0,6,7,4,4,4,4,4,4,7
48,2020-01-01,BOW LAKE 2,WIND,Output,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
49,2020-01-01,BRIGHTON BEACH,GAS,Capability,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565,565
50,2020-01-01,BRIGHTON BEACH,GAS,Output,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
51,2020-01-01,BRUCEA-G1,NUCLEAR,Capability,779,779,779,779,779,779,779,779,779,779,779,779,779,779,779,779,779,779,779,779,779,779,779,779
52,2020-01-01,BRUCEA-G1,NUCLEAR,Output,780,781,781,781,780,780,780,780,781,781,784,784,784,784,784,784,784,784,784,784,784,785,786,785
53,2020-01-01,BRUCEA-G2,NUCLEAR,Capability,779,779,779,779,779,779,779,779,779,779,779,779,779,779,779,779,779,779,779,779,779,779,779,779
54,2020-01-01,BRUCEA-G2,NUCLEAR,Output,787,787,787,786,784,785,787,787,788,788,788,788,787,787,786,786,786,786,786,786,786,786,786,786
55,2020-01-01,BRUCEA-G3,NUCLEAR,Capability,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784
56,2020-01-01,BRUCEA-G3,NUCLEAR,Output,805,805,805,804,804,807,807,807,807,807,808,807,808,809,809,808,808,807,807,807,807,807,806,806
57,2020-01-01,BRUCEA-G4,NUCLEAR,Capability,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784,784
58,2020-01-01,BRUCEA-G4,NUCLEAR,Output,794,795,796,798,799,798,798,797,796,792,792,792,792,792,793,799,798,798,797,799,798,798,798,795
59,2020-01-01,BRUCEB-G5,NUCLEAR,Capability,817,817,817,817,817,817,817,817,817,817,817,817,817,817,817,817,817,817,817,817,817,817,817,817
60,2020-01-01,BRUCEB-G5,NUCLEAR,Output,814,814,815,815,815,814,814,814,815,815,814,814,815,815,814,814,814,814,814,814,814,814,814,814
61,2020-01-01,BRUCEB-G6,NUCLEAR,Capability,817,817,817,817,817,817,817,817,817,817,817,817,817,817,817,817,817,817,817,817,817,817,817,817
