,0
0,537
1,511
2,511
3,495
4,570
5,574
6,746
7,954
8,1007
9,1012
10,1034
11,940
12,966
13,921
14,955
15,962
16,1101
17,1316
18,1190
19,1132
20,1101
21,1074
22,973
23,789
24,599
25,562
26,564
27,554
28,622
29,761
30,856
31,1059
32,1110
33,1111
34,1135
35,1049
36,1096
37,1031
38,1064
39,1140
40,1123
41,1423
42,1404
43,1283
44,1063
45,980
46,885
47,576
48,477
49,495
50,495
51,534
52,572
53,768
54,877
55,1276
56,1676
57,1523
58,1547
59,1301
60,1310
61,1373
62,1394
63,1614
64,1870
65,2315
66,2364
67,2381
68,1966
69,1991
70,1739
71,1058
72,821
73,730
74,649
75,576
76,579
77,682
78,937
79,1361
80,1575
81,1855
82,1864
83,1500
84,1448
85,1408
86,1306
87,1302
88,1554
89,1945
90,1825
91,1784
92,1401
93,1051
94,750
95,513
96,485
97,477
98,463
99,447
100,471
101,548
102,662
103,864
104,1044
105,1109
106,1242
107,1253
108,1245
109,1300
110,1442
111,1253
112,1679
113,2155
114,2098
115,1990
116,1864
117,1169
118,913
119,596
120,511
121,510
122,484
123,483
124,516
125,565
126,704
127,1206
128,1424
129,1231
130,1205
131,1038
132,1094
133,1142
134,1224
135,1727
136,1884
137,2520
138,2109
139,2170
140,1594
141,1570
142,1070
143,676
144,524
145,507
146,511
147,647
148,715
149,995
150,1549
151,2139
152,2141
153,2002
154,1603
155,1531
156,1252
157,1223
158,1332
159,1538
160,1866
161,2132
162,2190
163,2018
164,1926
165,1436
166,967
167,659
168,527
169,509
170,480
171,496
172,678
173,744
174,884
175,1203
176,1184
177,1139
178,1207
179,1102
180,1212
181,1264
182,1361
183,1808
184,2068
185,2719
186,2860
187,2971
188,2821
189,2614
190,2479
191,2180
192,1707
193,1656
194,1530
195,1551
196,1800
197,1795
198,1845
199,2090
200,2049
201,1864
202,1630
203,1256
204,1285
205,1422
206,1523
207,1507
208,1932
209,2203
210,2307
211,2283
212,1951
213,1304
214,935
215,723
216,713
217,695
218,599
219,599
220,615
221,760
222,908
223,1252
224,1307
225,1186
226,1252
227,1212
228,1239
229,1340
230,1360
231,1932
232,2439
233,2554
234,2569
235,2451
236,2121
237,1923
238,1349
239,700
240,560
241,540
242,488
243,487
244,607
245,647
246,735
247,1028
248,1009
249,1063
250,1211
251,1377
252,1455
253,1483
254,1509
255,1654
256,1580
257,2019
258,2085
259,1866
260,1664
261,1294
262,1137
263,949
264,869
265,844
266,775
267,774
268,801
269,889
270,1237
271,1346
272,1284
273,1383
274,1981
275,1634
276,1336
277,1639
278,1816
279,1632
280,2178
281,2484
282,2463
283,2150
284,2073
285,1791
286,1150
287,1007
288,854
289,732
290,789
291,1272
292,929
293,1007
294,1589
295,2038
296,2151
297,2052
298,1954
299,1783
300,1776
301,1774
302,1822
303,2012
304,2416
305,2601
306,2429
307,2437
308,2286
309,1989
310,1453
311,1224
312,890
313,872
314,813
315,776
316,791
317,900
318,1269
319,1832
320,1865
321,1737
322,1954
323,1908
324,1848
325,2007
326,1979
327,1792
328,2236
329,2589
330,2604
331,2197
332,2138
333,1717
334,1386
335,996
336,621
337,590
338,590
339,590
340,589
341,894
342,1257
343,1954
344,1770
345,1875
346,1926
347,1829
348,1814
349,1770
350,1589
351,1725
352,1993
353,2490
354,2637
355,2425
356,2229
357,1781
358,1307
359,1000
360,675
361,627
362,521
363,522
364,557
365,607
366,971
367,1809
368,1913
369,1701
370,1637
371,1578
372,1477
373,1411
374,1456
375,1553
376,1699
377,2182
378,2266
379,2223
380,2105
381,1846
382,1251
383,843
384,776
385,728
386,948
387,992
388,961
389,1400
390,1645
391,2472
392,2330
393,2024
394,2019
395,1897
396,1867
397,1759
398,1767
399,1805
400,1896
401,2503
402,2571
403,2235
404,1961
405,2089
406,1414
407,1166
408,905
409,863
410,901
411,921
412,964
413,1048
414,1228
415,1685
416,1870
417,1899
418,2112
419,1647
420,1545
421,1536
422,1551
423,1657
424,2122
425,2411
426,2420
427,2091
428,1939
429,1647
430,1317
431,1102
432,940
433,938
434,936
435,993
436,930
437,1046
438,1173
439,1274
440,1404
441,1759
442,1533
443,1393
444,1448
445,1408
446,1234
447,1199
448,1736
449,2486
450,2380
451,2372
452,2229
453,1903
454,1437
455,1302
456,1043
457,1041
458,1045
459,1054
460,1085
461,1229
462,1701
463,1943
464,1881
465,1817
466,1800
467,1590
468,1661
469,1614
470,1506
471,1260
472,1712
473,2418
474,2438
475,2029
476,2127
477,2240
478,1589
479,1468
480,1210
481,1155
482,1149
483,1051
484,967
485,1081
486,2029
487,2179
488,2174
489,2179
490,2106
491,1992
492,1705
493,1764
494,1737
495,2008
496,2107
497,2135
498,2129
499,1958
500,2000
501,2029
502,1400
503,1226
504,978
505,1057
506,1022
507,991
508,1007
509,1146
510,1353
511,2113
512,1952
513,1882
514,1726
515,1450
516,1337
517,1389
518,1488
519,1615
520,2068
521,2202
522,2229
523,2177
524,2157
525,2095
526,1876
527,1197
528,1031
529,1015
530,1010
531,1038
532,1113
533,1188
534,1377
535,2023
536,2073
537,2024
538,2063
539,1872
540,1906
541,1825
542,1871
543,1716
544,2001
545,2265
546,2261
547,2063
548,2012
549,1691
550,1484
551,1151
552,1046
553,1096
554,1057
555,1010
556,1046
557,1145
558,1385
559,1584
560,1866
561,1864
562,1859
563,1483
564,1499
565,1492
566,1537
567,1627
568,1768
569,1985
570,1997
571,1980
572,1831
573,1659
574,1329
575,1138
576,959
577,998
578,999
579,935
580,1010
581,1115
582,1216
583,1294
584,1290
585,1433
586,1933
587,1936
588,1758
589,1730
590,1767
591,1929
592,1786
593,2095
594,2259
595,2244
596,2041
597,1536
598,1398
599,1139
600,1163
601,1098
602,992
603,916
604,916
605,941
606,1174
607,1307
608,1343
609,1365
610,1350
611,1227
612,1206
613,1271
614,1305
615,1241
616,1780
617,1982
618,2118
619,1939
620,1792
621,1794
622,1605
623,1227
624,1055
625,1047
626,1172
627,1212
628,1182
629,1216
630,1490
631,1807
632,1837
633,2101
634,2010
635,1874
636,1724
637,1629
638,1768
639,1884
640,2239
641,2680
642,2684
643,2662
644,2746
645,2233
646,1903
647,1536
648,1147
649,1109
650,1263
651,1185
