\\Yearly Intertie Schedule and Flow Report,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\\Created at 2021-01-31 08:02:21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\\For 2020,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,MANITOBA,MANITOBA,MANITOBA,MANITOBA SK,MANITOBA SK,MANITOBA SK,MICHIGAN,MICHIGAN,MICHIGAN,MINNESOTA,MINNESOTA,MINNESOTA,NEW-YORK,NEW-YORK,NEW-YORK,PQ.AT,PQ.AT,PQ.AT,PQ.B5D.B31L,PQ.B5D.B31L,PQ.B5D.B31L,PQ.D4Z,PQ.D4Z,PQ.D4Z,PQ.D5A,PQ.D5A,PQ.D5A,PQ.H4Z,PQ.H4Z,PQ.H4Z,PQ.H9A,PQ.H9A,PQ.H9A,PQ.P33C,PQ.P33C,PQ.P33C,PQ.Q4C,PQ.Q4C,PQ.Q4C,PQ.X2Y,PQ.X2Y,PQ.X2Y,Total,Total,net_flow
Date,Hour,Imp,Exp,Flow,Imp,Exp,Flow,Imp,Exp,Flow,Imp,Exp,Flow,Imp,Exp,Flow,Imp,Exp,Flow,Imp,Exp,Flow,Imp,Exp,Flow,Imp,Exp,Flow,Imp,Exp,Flow,Imp,Exp,Flow,Imp,Exp,Flow,Imp,Exp,Flow,Imp,Exp,Flow,Imp,Exp,net_flow
1/01/2020,1,64,167,70,0,0,5,0,800,650,0,0,-5,0,1258,1372,9,1133,1126,0,0,205,0,0,0,0,0,0,0,34,35,0,0,0,0,0,0,0,0,24,0,0,0,73,3392,3482
1/01/2020,2,64,81,34,0,0,5,0,800,578,0,0,15,0,1285,1411,9,1133,1136,0,0,222,0,0,0,0,0,0,0,34,33,0,0,0,0,0,0,0,0,23,0,0,0,73,3333,3457
1/01/2020,3,111,96,-7,0,0,5,0,800,685,0,0,-1,0,1390,1411,9,1239,1235,0,0,223,0,0,0,0,0,0,0,34,28,0,0,0,0,0,0,0,0,23,0,0,0,120,3559,3602
1/01/2020,4,125,96,-18,0,0,5,0,800,665,0,0,1,0,1443,1484,9,1239,1235,0,0,222,0,0,0,0,0,0,0,34,26,0,0,0,0,0,1,0,0,23,0,0,0,134,3612,3644
1/01/2020,5,45,140,77,0,0,5,0,800,663,0,1,-4,0,1440,1520,9,1239,1235,0,0,223,0,0,0,0,0,0,0,34,23,0,0,0,0,0,1,0,0,46,0,0,0,54,3654,3789
1/01/2020,6,63,164,95,0,0,5,0,800,783,0,0,3,0,1417,1343,9,1239,1232,0,0,222,0,0,0,0,0,0,0,34,24,0,0,0,0,0,1,0,0,47,0,0,0,72,3654,3755
1/01/2020,7,119,96,-4,0,0,5,0,800,966,0,0,0,0,1404,1115,9,1239,1229,0,0,222,0,0,0,0,0,0,0,34,31,0,0,0,0,0,1,0,0,47,0,0,0,128,3573,3612
1/01/2020,8,114,0,-101,0,0,5,0,800,915,0,0,1,0,1292,1210,9,1239,1229,0,0,223,0,0,0,0,0,0,0,34,32,0,0,0,0,0,1,0,0,47,0,0,0,123,3365,3562
1/01/2020,9,118,168,30,0,0,5,0,800,636,0,0,-6,0,1100,1190,9,1239,1229,0,0,223,0,0,0,0,0,0,0,34,34,0,0,0,0,0,1,0,0,47,0,0,0,127,3341,3389
1/01/2020,10,123,96,-14,0,0,5,0,762,647,0,29,2,0,1100,1188,9,1239,1229,0,0,223,0,0,0,0,0,0,0,34,31,0,0,0,0,0,1,0,0,47,0,0,0,132,3260,3359
1/01/2020,11,85,88,-3,0,0,5,0,800,790,0,61,56,0,1100,1050,9,1239,1229,0,0,223,0,0,0,0,0,0,0,34,33,0,0,0,0,0,1,0,0,69,0,0,0,94,3322,3453
1/01/2020,12,75,135,41,0,0,5,0,750,770,0,61,56,0,1000,956,9,1239,1229,0,0,223,0,0,0,0,0,0,0,34,36,0,0,0,0,0,1,0,0,70,0,0,0,84,3219,3387
1/01/2020,13,22,83,59,0,0,5,0,800,651,0,61,59,0,1100,1155,9,1239,1229,0,0,222,0,0,0,0,0,0,0,34,35,0,0,0,0,0,1,0,0,70,0,0,0,31,3317,3486
1/01/2020,14,24,130,92,0,0,5,0,775,644,0,32,31,0,1100,1179,9,1239,1230,0,0,222,0,0,0,0,0,0,0,34,32,0,0,0,0,0,1,0,0,70,0,0,0,33,3310,3506
1/01/2020,15,45,146,94,0,0,5,0,800,613,0,32,31,0,1100,1246,9,1146,1125,0,0,221,0,0,0,0,0,0,0,34,40,0,0,0,0,0,1,0,0,90,0,0,0,54,3258,3466
1/01/2020,16,45,94,51,0,0,5,0,800,656,19,0,-21,0,1100,1290,9,448,449,0,0,222,0,0,0,0,0,0,0,34,40,0,0,0,0,0,1,0,0,91,0,0,0,73,2476,2784
1/01/2020,17,45,119,59,0,0,5,0,800,707,0,32,32,0,1100,1251,9,142,136,0,0,222,0,0,0,0,0,0,0,34,36,0,0,0,0,0,1,0,0,91,0,0,0,54,2227,2540
1/01/2020,18,63,164,93,0,0,5,0,800,678,0,32,32,0,1100,1218,9,142,133,0,0,222,0,0,0,0,0,0,0,34,36,0,0,0,0,0,1,0,0,91,0,0,0,72,2272,2509
1/01/2020,19,133,156,45,0,0,5,0,750,624,0,61,61,0,1290,1396,9,142,132,0,0,222,0,0,0,0,0,0,0,34,38,0,0,0,0,0,1,0,0,90,0,0,0,142,2433,2614
1/01/2020,20,75,212,114,0,0,5,0,777,695,65,61,-4,0,1250,1431,9,142,141,0,0,221,0,0,0,0,0,0,0,34,37,0,0,0,0,0,0,0,0,90,0,0,0,149,2476,2730
1/01/2020,21,45,212,120,0,0,5,0,775,725,65,29,-32,0,1300,1358,9,469,464,0,0,222,0,0,0,0,0,0,0,34,42,0,0,0,0,0,0,0,0,90,0,0,0,119,2819,2994
1/01/2020,22,45,195,116,0,0,5,0,800,950,19,0,-19,0,1401,1324,9,1042,1019,0,0,223,0,0,0,0,0,0,0,34,44,0,0,0,0,0,1,0,0,90,0,0,0,73,3472,3753
1/01/2020,23,50,0,-27,0,0,5,0,900,929,0,32,30,0,1401,1328,9,1239,1227,0,0,222,0,0,0,0,0,0,0,34,41,0,0,0,0,0,1,0,0,69,0,0,0,59,3606,3825
