,0
0,21371.0
1,23050.0
2,32916.0
3,29416.0
4,26769.0
5,28657.0
6,33403.0
7,36510.0
8,40148.0
9,33075.0
10,28447.0
11,35536.0
12,41369.0
13,39096.0
14,37245.0
15,33430.0
16,41225.0
17,37381.0
18,35453.0
19,39291.0
20,41470.0
21,38507.0
22,40073.0
23,36283.0
24,36800.0
25,33052.0
26,43691.0
27,44631.0
28,43212.0
29,44703.0
30,42000.0
31,38585.0
32,37953.0
33,43388.0
34,41088.0
35,43213.0
36,46360.0
37,43994.0
38,41769.0
39,38066.0
40,43294.0
41,41173.0
42,41578.0
43,44149.0
44,49837.0
45,36001.0
46,37170.0
47,39103.0
48,39584.0
49,38777.0
50,39709.0
51,36862.0
52,26957.0
53,27848.0
54,38805.0
55,34225.0
56,38499.0
57,37320.0
58,38323.0
59,35635.0
60,36630.0
61,36820.0
62,34037.0
63,34953.0
64,31695.0
65,29687.0
66,22968.0
67,29165.0
68,33181.0
69,37033.0
70,37466.0
71,27458.0
72,31248.0
73,31351.0
74,39036.0
75,36415.0
76,40492.0
77,37245.0
78,28699.0
79,33472.0
80,30234.0
81,34818.0
82,33602.0
83,32557.0
84,30061.0
85,30111.0
86,29324.0
87,23241.0
88,34316.0
89,39022.0
90,36788.0
91,33909.0
92,35816.0
93,33593.0
94,31754.0
95,35462.0
96,32220.0
97,36298.0
98,24067.0
99,24406.0
100,25652.0
101,28575.0
102,26439.0
103,30746.0
104,42506.0
105,33553.0
106,41230.0
107,28969.0
108,24654.0
109,32567.0
110,21847.0
111,35194.0
112,39226.0
113,43196.0
114,27588.0
115,20745.0
116,27469.0
117,36585.0
118,28659.0
119,37002.0
120,36232.0
121,25926.0
122,25891.0
123,30601.0
124,34491.0
125,33263.0
126,30156.0
127,36192.0
128,37239.0
129,38823.0
130,44464.0
131,39156.0
132,38487.0
133,30479.0
134,38685.0
135,28298.0
136,21824.0
137,22310.0
138,25699.0
139,32586.0
140,42002.0
141,47351.0
142,49146.0
143,39966.0
144,51446.0
145,48606.0
146,46910.0
147,44857.0
148,45424.0
149,33544.0
150,38811.0
151,37198.0
152,38855.0
153,40567.0
154,40183.0
155,47267.0
156,38398.0
157,37475.0
158,41189.0
159,43495.0
160,36678.0
161,34930.0
162,35850.0
163,28100.0
164,27184.0
165,35244.0
166,37038.0
167,37993.0
168,41577.0
169,44791.0
170,42920.0
171,42668.0
172,42801.0
173,37893.0
174,27262.0
175,33753.0
176,38716.0
177,37369.0
178,40302.0
179,44646.0
180,46417.0
181,43964.0
182,43183.0
183,43532.0
184,41979.0
185,39175.0
186,40000.0
187,39245.0
188,39863.0
189,45123.0
190,44372.0
191,35917.0
192,37009.0
193,36954.0
194,35324.0
195,35134.0
196,31969.0
197,33882.0
198,36203.0
199,30916.0
200,34325.0
201,32624.0
202,33828.0
203,33597.0
204,32350.0
205,32438.0
206,32448.0
207,34112.0
208,32927.0
209,32316.0
210,30145.0
211,29318.0
212,28656.0
213,26257.0
214,27621.0
215,28920.0
216,25246.0
217,27688.0
218,28876.0
219,29378.0
220,26557.0
221,30261.0
222,30418.0
223,32624.0
224,30113.0
225,26408.0
226,25049.0
227,23579.0
228,25561.0
229,23429.0
230,23410.0
231,21828.0
232,23874.0
233,22219.0
234,21413.0
235,24050.0
236,22598.0
237,20632.0
238,21713.0
239,20476.0
240,18751.0
241,22114.0
242,20775.0
243,21288.0
244,22081.0
245,23346.0
246,23918.0
247,23183.0
248,22940.0
249,24133.0
250,25771.0
251,26789.0
252,26213.0
253,26710.0
254,24187.0
255,24814.0
256,26542.0
257,25168.0
258,24459.0
259,27864.0
260,27689.0
261,28076.0
262,23455.0
263,27315.0
264,29091.0
265,28533.0
266,28803.0
267,27941.0
268,25170.0
269,24558.0
270,32209.0
271,28471.0
272,27961.0
273,32551.0
274,34640.0
275,37625.0
276,35022.0
277,33799.0
278,31460.0
279,30783.0
280,38721.0
281,32960.0
282,24597.0
283,25393.0
284,18801.0
285,30236.0
286,29226.0
287,31819.0
288,40659.0
289,33765.0
290,29475.0
291,42366.0
292,41035.0
293,36179.0
294,41250.0
295,25989.0
296,39718.0
297,38692.0
298,42954.0
299,44787.0
300,40534.0
301,38284.0
302,42010.0
303,40028.0
304,24351.0
305,33897.0
306,32781.0
307,24616.0
308,28952.0
309,30298.0
310,21911.0
311,27130.0
312,33961.0
313,26664.0
314,30236.0
315,43233.0
316,47362.0
317,42031.0
318,34099.0
319,39709.0
320,45770.0
321,52597.0
322,36257.0
323,35344.0
324,45640.0
325,47663.0
326,48816.0
327,51304.0
328,47365.0
329,49223.0
330,48333.0
331,44328.0
332,41066.0
333,37884.0
334,33968.0
335,36441.0
336,34536.0
337,37121.0
338,44254.0
339,44133.0
340,49009.0
341,51651.0
342,45309.0
343,43783.0
344,44297.0
345,35708.0
346,40396.0
347,42267.0
348,44506.0
349,43544.0
350,48564.0
351,44343.0
352,34494.0
353,33651.0
354,43584.0
355,44070.0
356,35954.0
357,39961.0
358,35652.0
359,36925.0
360,36066.0
361,33844.0
362,42984.0
363,37311.0
364,43874.0
