,\\Hourly Demand Report,,,
,\\Created at 2021-01-31 07:30:13,,,
,\\For 2020,,,
hour_ending,Date,Hour,Market Demand,Ontario Demand
0,1/01/2020,1,16565,13219
1,1/01/2020,2,16193,12895
2,1/01/2020,3,16072,12554
3,1/01/2020,4,15930,12360
4,1/01/2020,5,15963,12353
5,1/01/2020,6,16057,12458
6,1/01/2020,7,16249,12729
7,1/01/2020,8,16498,13180
8,1/01/2020,9,16686,13406
9,1/01/2020,10,16973,13765
10,1/01/2020,11,17340,14078
11,1/01/2020,12,17537,14373
12,1/01/2020,13,17756,14495
13,1/01/2020,14,17764,14513
14,1/01/2020,15,17857,14690
15,1/01/2020,16,17162,14753
16,1/01/2020,17,17654,15490
17,1/01/2020,18,18537,16324
18,1/01/2020,19,18574,16208
19,1/01/2020,20,18332,15911
20,1/01/2020,21,18314,15535
21,1/01/2020,22,18638,15222
22,1/01/2020,23,17964,14426
23,1/01/2020,24,17201,13698
24,2/01/2020,1,16449,12996
25,2/01/2020,2,16373,12662
26,2/01/2020,3,16031,12435
27,2/01/2020,4,15872,12365
28,2/01/2020,5,16082,12481
29,2/01/2020,6,16587,12940
30,2/01/2020,7,17671,13999
31,2/01/2020,8,19065,15238
32,2/01/2020,9,19484,15655
33,2/01/2020,10,19585,15819
34,2/01/2020,11,19086,15839
35,2/01/2020,12,19024,15846
36,2/01/2020,13,18568,15685
37,2/01/2020,14,19147,15926
38,2/01/2020,15,19114,15932
39,2/01/2020,16,19113,16048
40,2/01/2020,17,19141,16846
41,2/01/2020,18,19784,17621
42,2/01/2020,19,19768,17331
43,2/01/2020,20,19623,17099
44,2/01/2020,21,19173,16784
45,2/01/2020,22,18611,16005
46,2/01/2020,23,18223,15145
47,2/01/2020,24,17277,14154
48,3/01/2020,1,16372,13369
49,3/01/2020,2,16181,12976
50,3/01/2020,3,15810,12588
51,3/01/2020,4,15853,12570
52,3/01/2020,5,16420,12759
53,3/01/2020,6,16798,13419
54,3/01/2020,7,16773,14323
55,3/01/2020,8,17414,15321
56,3/01/2020,9,17897,15941
57,3/01/2020,10,17624,16053
58,3/01/2020,11,18203,16339
59,3/01/2020,12,18034,16358
60,3/01/2020,13,18700,16684
61,3/01/2020,14,18644,16744
62,3/01/2020,15,18323,16516
63,3/01/2020,16,18446,16491
64,3/01/2020,17,18943,16991
65,3/01/2020,18,19776,17675
66,3/01/2020,19,19422,17228
67,3/01/2020,20,19160,16918
68,3/01/2020,21,18590,16669
69,3/01/2020,22,18078,16091
70,3/01/2020,23,17147,15254
71,3/01/2020,24,16388,14304
72,4/01/2020,1,16073,13670
73,4/01/2020,2,15942,13237
74,4/01/2020,3,15583,12942
75,4/01/2020,4,15651,12814
76,4/01/2020,5,15610,12814
77,4/01/2020,6,15984,13030
78,4/01/2020,7,16248,13623
79,4/01/2020,8,16696,14289
80,4/01/2020,9,17290,14854
81,4/01/2020,10,17811,15432
82,4/01/2020,11,18313,15880
83,4/01/2020,12,19004,16125
84,4/01/2020,13,19023,16131
85,4/01/2020,14,18780,16123
86,4/01/2020,15,18824,16082
87,4/01/2020,16,19010,16139
88,4/01/2020,17,19659,16640
89,4/01/2020,18,20309,17273
90,4/01/2020,19,20004,16885
91,4/01/2020,20,19638,16579
92,4/01/2020,21,19243,16251
93,4/01/2020,22,18718,15788
94,4/01/2020,23,17774,15023
95,4/01/2020,24,17073,14213
96,5/01/2020,1,17067,13678
97,5/01/2020,2,17138,13156
98,5/01/2020,3,16853,12831
99,5/01/2020,4,17164,12827
100,5/01/2020,5,17015,12822
101,5/01/2020,6,17168,12994
102,5/01/2020,7,16897,13468
103,5/01/2020,8,16862,13991
104,5/01/2020,9,17097,14406
105,5/01/2020,10,17559,14727
106,5/01/2020,11,17630,14913
107,5/01/2020,12,17804,14979
108,5/01/2020,13,18123,15208
109,5/01/2020,14,18507,15412
110,5/01/2020,15,18812,15750
111,5/01/2020,16,18988,15992
112,5/01/2020,17,19492,16846
113,5/01/2020,18,20677,17885
114,5/01/2020,19,20700,17617
115,5/01/2020,20,20547,17288
116,5/01/2020,21,20094,16853
117,5/01/2020,22,19499,16207
118,5/01/2020,23,18616,15354
119,5/01/2020,24,18268,14477
120,6/01/2020,1,18079,13928
121,6/01/2020,2,17963,13629
122,6/01/2020,3,17719,13484
123,6/01/2020,4,17792,13454
124,6/01/2020,5,17828,13602
125,6/01/2020,6,17906,14206
126,6/01/2020,7,18635,15539
127,6/01/2020,8,20196,16992
128,6/01/2020,9,20243,17125
129,6/01/2020,10,20168,17055
130,6/01/2020,11,20222,16949
131,6/01/2020,12,19842,16846
132,6/01/2020,13,19684,16738
133,6/01/2020,14,19692,16548
134,6/01/2020,15,19497,16419
135,6/01/2020,16,19767,16723
136,6/01/2020,17,20833,17668
137,6/01/2020,18,22021,18680
138,6/01/2020,19,21367,18368
139,6/01/2020,20,21199,18196
140,6/01/2020,21,20134,17817
141,6/01/2020,22,19766,17122
142,6/01/2020,23,18724,16078
143,6/01/2020,24,17914,14881
144,7/01/2020,1,17202,14347
145,7/01/2020,2,17177,14010
146,7/01/2020,3,16608,13781
147,7/01/2020,4,16643,13867
148,7/01/2020,5,16639,14074
149,7/01/2020,6,17245,14606
150,7/01/2020,7,18854,15931
151,7/01/2020,8,19690,17335
152,7/01/2020,9,19963,17547
153,7/01/2020,10,19789,17363
154,7/01/2020,11,19599,17155
155,7/01/2020,12,19720,16869
156,7/01/2020,13,19163,16508
157,7/01/2020,14,18633,16333
158,7/01/2020,15,18913,16439
159,7/01/2020,16,19431,16715
160,7/01/2020,17,20354,17399
161,7/01/2020,18,21012,18266
162,7/01/2020,19,21349,18118
163,7/01/2020,20,21208,18010
164,7/01/2020,21,20820,17686
165,7/01/2020,22,20278,16970
166,7/01/2020,23,19134,16024
167,7/01/2020,24,18605,14916
168,8/01/2020,1,18269,14222
