,ror cf
0,0.626038039
1,0.622555585
2,0.614787035
3,0.6110367
4,0.617733726
5,0.619341013
6,0.622287704
7,0.609429413
8,0.624162872
9,0.613179748
10,0.620144656
11,0.631663541
12,0.635413876
13,0.630592017
14,0.627645325
15,0.625770158
16,0.631663541
17,0.636217519
18,0.635949638
19,0.633988688
20,0.613179748
21,0.613179748
22,0.610500938
23,0.595767479
24,0.606143856
25,0.604645355
26,0.603896104
27,0.604395604
28,0.605644356
29,0.605644356
30,0.613636364
31,0.633616384
32,0.637362637
33,0.63011988
34,0.627872128
35,0.638611389
36,0.648101898
37,0.639110889
38,0.64010989
39,0.647602398
40,0.642107892
41,0.646603397
42,0.6500999
43,0.655844156
44,0.643356643
45,0.662337662
46,0.63961039
47,0.628121878
48,0.612387612
49,0.617632368
50,0.62987013
51,0.615134865
52,0.635864136
53,0.614885115
54,0.608641359
55,0.665834166
56,0.676323676
57,0.677322677
58,0.759240759
59,0.753746254
60,0.774725275
61,0.780969031
62,0.777722278
63,0.734765235
64,0.777972028
65,0.801198801
66,0.762237762
67,0.746852398
68,0.758639164
69,0.712831503
70,0.662469863
71,0.6576892
72,0.706545064
73,0.673551502
74,0.610783262
75,0.6722103
76,0.680257511
77,0.755364807
78,0.691255365
79,0.701984979
80,0.707081545
81,0.783261803
82,0.774874372
83,0.775935695
84,0.728771229
85,0.769538077
86,0.654182272
87,0.654182272
88,0.666167291
89,0.728589263
90,0.693882647
91,0.69588015
92,0.737827715
93,0.696129838
94,0.634706617
95,0.616978777
96,0.610986267
97,0.609238452
98,0.616229713
99,0.621972534
100,0.62721598
101,0.621722846
102,0.62721598
103,0.62247191
104,0.637702871
105,0.64968789
106,0.640449438
107,0.652184769
108,0.64968789
109,0.658926342
110,0.654931336
111,0.653433208
112,0.665667915
113,0.735081149
114,0.706367041
115,0.667166042
116,0.652684145
117,0.647440699
118,0.621473159
119,0.605992509
120,0.602996255
121,0.61298377
122,0.612484395
123,0.60349563
124,0.600749064
125,0.604494382
126,0.617228464
127,0.696379526
128,0.650436954
129,0.642036945
130,0.674790556
131,0.660401321
132,0.652019304
133,0.65506731
134,0.660655321
135,0.667513335
136,0.67005334
137,0.718313437
138,0.680721361
139,0.688262195
140,0.654471545
141,0.657426246
142,0.639114954
143,0.652085453
144,0.630213632
145,0.630976602
146,0.636317396
147,0.648779247
148,0.625381485
149,0.632502543
150,0.663784334
151,0.769011899
152,0.754785308
153,0.70129199
154,0.741602067
155,0.749870801
156,0.686350686
157,0.657860658
158,0.659431525
159,0.677002584
160,0.679069767
161,0.676149352
162,0.676911354
163,0.683007366
164,0.668529337
165,0.679451359
166,0.657607315
167,0.626619253
168,0.630937262
169,0.626873254
170,0.629667259
171,0.622047244
172,0.627889256
173,0.631953264
174,0.633731267
175,0.718567437
176,0.646431293
177,0.642529322
178,0.651115099
179,0.663051898
180,0.662557781
181,0.66190719
182,0.677673355
183,0.684277369
184,0.68021336
185,0.735585471
186,0.81991364
187,0.823469647
188,0.789687579
189,0.773824651
190,0.770600203
191,0.716174975
192,0.723296033
193,0.762207528
194,0.77619532
195,0.77543235
196,0.776958291
197,0.644201424
198,0.638606307
199,0.666073245
200,0.655733537
201,0.643020595
202,0.648209296
203,0.656083312
204,0.664888211
205,0.675304878
206,0.778765558
207,0.735585471
208,0.665735331
209,0.75488951
210,0.776595745
211,0.777141298
212,0.717130387
213,0.64020731
214,0.634567901
215,0.636213992
216,0.601472995
217,0.601745772
218,0.61756683
219,0.625204583
220,0.606655756
221,0.614839062
222,0.614173228
223,0.6502413
224,0.657607315
225,0.659639319
226,0.663195326
227,0.66497333
228,0.66497333
229,0.679705359
230,0.683261367
231,0.73951049
232,0.779470529
233,0.758741259
234,0.661338661
235,0.665584416
236,0.652847153
237,0.694402799
238,0.709693621
239,0.610957527
240,0.60140035
241,0.607151788
242,0.606151538
243,0.626156539
244,0.616904226
245,0.614653663
246,0.607651913
247,0.616654164
248,0.6465
249,0.668
250,0.639110889
251,0.712537463
252,0.767482517
253,0.775224775
254,0.748001998
255,0.648351648
256,0.666333666
257,0.665084915
258,0.668331668
259,0.661838162
260,0.674075924
261,0.675574426
262,0.634865135
263,0.619380619
264,0.622127872
265,0.636863137
266,0.636613387
267,0.61988012
268,0.637612388
269,0.632367632
270,0.655844156
271,0.775974026
272,0.776973027
273,0.797452547
274,0.786213786
275,0.801698302
276,0.795704296
277,0.809452363
278,0.815453863
279,0.776944236
280,0.705463787
281,0.777890724
282,0.77407878
283,0.739008895
284,0.740702479
285,0.721146398
286,0.703072554
287,0.66236781
288,0.646633995
289,0.666838577
290,0.705958215
291,0.751096208
292,0.717565128
293,0.697704411
294,0.759865876
295,0.790043848
296,0.780500387
297,0.781266217
298,0.780487805
299,0.811624286
300,0.812662169
301,0.81292164
302,0.825116762
303,0.833419824
304,0.819148936
305,0.824078879
306,0.82082576
307,0.818229031
308,0.798389192
309,0.793712653
310,0.783320343
311,0.689010133
312,0.707196674
313,0.677461478
314,0.648220317
315,0.690828787
316,0.660171473
317,0.748311688
318,0.777402597
319,0.786715101
320,0.779709393
321,0.813440581
322,0.82433835
323,0.814737935
324,0.788531396
325,0.834121977
326,0.774710831
327,0.718733783
328,0.733264141
329,0.777374157
330,0.715620135
331,0.704462896
332,0.695640893
333,0.705760249
334,0.727555786
335,0.676180592
336,0.67553469
337,0.666493641
338,0.634051389
339,0.648220317
340,0.676799169
341,0.676019745
342,0.652637049
343,0.707976098
344,0.68855877
345,0.682262211
346,0.791502754
347,0.79286838
348,0.732302045
349,0.712676794
350,0.710319539
351,0.693824598
352,0.688507807
353,0.703344396
354,0.768189941
355,0.782231299
356,0.796272658
357,0.78708195
358,0.690403267
359,0.630168453
360,0.625223385
361,0.631095226
362,0.627010467
363,0.629818739
364,0.625478683
365,0.6336482
366,0.666300768
367,0.774558499
368,0.742390703
369,0.661007515
370,0.673401605
371,0.689314914
372,0.675062275
373,0.685561196
374,0.701298701
375,0.687206411
376,0.691903841
377,0.713813069
378,0.713813069
379,0.747755331
380,0.709034792
381,0.699494949
382,0.731481481
383,0.658249158
384,0.67769986
385,0.762398431
386,0.78285234
387,0.764079574
388,0.739983189
389,0.74082376
390,0.773045671
391,0.838049874
392,0.772764561
393,0.759092152
394,0.74733388
395,0.813781788
396,0.796756757
397,0.762702703
398,0.740810811
399,0.696212732
400,0.687348912
401,0.809562181
402,0.784045125
403,0.848240666
404,0.776204737
405,0.7919914
406,0.717666039
407,0.638784293
408,0.671866595
409,0.623903784
410,0.648709597
411,0.646454523
412,0.629917314
413,0.646705086
414,0.677774994
415,0.66224004
416,0.657228765
417,0.743923829
418,0.778752192
419,0.769982461
420,0.752693561
421,0.735220441
422,0.69044044
423,0.715715716
424,0.743493493
425,0.788538539
426,0.777777778
427,0.768518519
428,0.735235235
429,0.750750751
430,0.671671672
431,0.616866867
432,0.606356356
433,0.627377377
434,0.61011011
435,0.593843844
436,0.609359359
437,0.604354354
438,0.619119119
439,0.64781162
440,0.687228052
441,0.768364474
442,0.678013821
443,0.656513949
444,0.670847197
445,0.662400819
446,0.647555669
447,0.639109291
448,0.654978244
449,0.717686204
450,0.631942667
451,0.674430509
452,0.754543128
453,0.746031746
454,0.69203177
455,0.684008201
456,0.718862122
457,0.750384418
458,0.670937981
459,0.774474628
460,0.735776525
461,0.706560738
462,0.719645649
463,0.745611737
464,0.77152403
465,0.73815721
466,0.734269371
467,0.7522745
468,0.732778789
469,0.666233429
470,0.645178061
471,0.672991942
472,0.689108396
473,0.77722901
474,0.711983364
475,0.668312971
476,0.674733281
477,0.689744925
478,0.720385316
479,0.684196824
480,0.686019266
481,0.74691704
482,0.698150224
483,0.637892377
484,0.622197309
485,0.624159193
486,0.647701794
487,0.76716167
488,0.763224181
489,0.765127617
490,0.756893641
491,0.713562183
492,0.662070906
493,0.753517164
494,0.743387732
495,0.709060214
496,0.639518612
497,0.655751469
498,0.635040582
499,0.648194794
500,0.65127344
501,0.642877134
502,0.65743073
503,0.632801567
504,0.660661468
505,0.645872546
506,0.64909922
507,0.658510352
508,0.653039268
509,0.654653039
510,0.673978613
511,0.712576516
512,0.686143573
513,0.727323317
514,0.766993007
515,0.708379578
516,0.67563818
517,0.683129856
518,0.693951165
519,0.729467259
520,0.744686724
521,0.797886752
522,0.779377126
523,0.710622711
524,0.694227769
525,0.738429537
526,0.721354856
527,0.751260504
528,0.697759104
529,0.675910364
530,0.705322129
531,0.708963585
532,0.668627451
533,0.684593838
534,0.717074512
535,0.809183393
536,0.806433874
537,0.778421634
538,0.82320442
539,0.741641337
540,0.746891406
541,0.7211937
542,0.754972376
543,0.71530837
544,0.705785577
545,0.735673156
546,0.738415136
547,0.673236515
548,0.721948691
549,0.701995336
550,0.701372701
551,0.646982647
552,0.659155659
553,0.656136717
554,0.639823925
555,0.64422579
556,0.645261523
557,0.646205646
558,0.668997669
559,0.67642487
560,0.71484375
561,0.696354167
562,0.692566693
563,0.716135716
564,0.71950272
565,0.716912717
566,0.720725389
567,0.696519959
568,0.691756272
569,0.694316436
570,0.693292371
571,0.70890937
572,0.697644649
573,0.683307732
574,0.674347158
575,0.655657962
576,0.641321045
577,0.633990274
578,0.633478372
579,0.67143953
580,0.664280235
581,0.676809
582,0.632830478
583,0.743085258
584,0.663513168
585,0.692917412
586,0.698031194
587,0.709792892
588,0.699309639
589,0.697264127
590,0.702633598
591,0.698542572
592,0.704934799
593,0.71202046
594,0.707704121
595,0.707373272
596,0.701996928
597,0.679979519
598,0.662570405
599,0.638248848
600,0.643881208
601,0.637480799
602,0.6515617
603,0.641577061
604,0.648233487
605,0.646531866
606,0.642455243
607,0.653285605
608,0.677064689
609,0.696752749
610,0.675274866
611,0.691127589
612,0.689082076
613,0.689082076
614,0.695729992
615,0.697008438
616,0.722321657
617,0.716696497
618,0.711838405
619,0.712787724
620,0.701278772
621,0.705069124
622,0.674603175
623,0.65796211
624,0.663338454
625,0.677931388
626,0.668458781
627,0.668458781
628,0.671786994
629,0.675883257
630,0.707373272
631,0.724782386
632,0.706112853
633,0.732701921
634,0.745923198
635,0.739610731
636,0.712519726
637,0.708574435
638,0.71067859
639,0.712782746
640,0.733298264
641,0.766438716
642,0.790126648
643,0.772809512
644,0.780563453
645,0.793745154
646,0.688728025
647,0.761112555
648,0.672651574
649,0.678636482
650,0.684881603
651,0.687223523
652,0.687483737
653,0.683580536
654,0.738347458
655,0.825476695
656,0.736493644
657,0.791958985
658,0.720528729
659,0.708703853
660,0.695769334
661,0.699272433
662,0.69388305
663,0.694421989
664,0.683061547
665,0.743086069
666,0.780304988
667,0.825536314
668,0.79245283
669,0.705867149
670,0.731713621
671,0.685706901
672,0.757238883
673,0.690020683
674,0.673395445
675,0.660455487
676,0.664596273
677,0.682453416
678,0.705486542
679,0.824016563
680,0.723762633
681,0.6791915
682,0.678154962
683,0.70225447
684,0.682901554
685,0.68115942
686,0.679606625
687,0.693064182
688,0.706901008
689,0.78366503
690,0.836391833
691,0.797622125
692,0.796831573
693,0.807115064
694,0.750138966
695,0.750138966
696,0.798640612
697,0.817048995
698,0.812234494
699,0.673561916
700,0.782312925
701,0.708167896
702,0.808564946
703,0.835507657
704,0.802041974
705,0.720930233
706,0.758082813
707,0.762336926
708,0.733408962
709,0.775163028
710,0.81769209
711,0.766864239
712,0.773355913
713,0.854119639
714,0.83972912
715,0.849280271
716,0.829240756
717,0.812023709
718,0.772226926
719,0.772509173
720,0.7629785
721,0.704247509
722,0.709491348
723,0.691662297
724,0.704247509
725,0.705511811
726,0.80756104
727,0.804935679
728,0.822788133
729,0.796697626
730,0.803921569
731,0.830495356
732,0.822836662
733,0.826420891
734,0.807475678
735,0.835637481
736,0.82979268
737,0.836103298
738,0.838148811
739,0.838449532
740,0.833766909
741,0.818158169
742,0.735691988
743,0.666493236
744,0.669354839
745,0.644120708
746,0.651833193
747,0.665267282
748,0.654352085
749,0.696333613
750,0.706326988
751,0.740481523
752,0.754764574
753,0.816984305
754,0.749159193
755,0.742152466
756,0.757567265
757,0.746076233
758,0.754204036
759,0.765134529
760,0.772701794
761,0.838610255
762,0.795460913
763,0.756787014
