code,commodity,description,flag,units
biogas,e_bio_g,biogas for electricity generation,p,PJ
biomass,e_bio_m,biomass for electricity generation,p,PJ
ethos,e_ethos,dummy commodity,p,PJ
ng,e_ng,natural gas for electricity generation,p,PJ
coal,e_coal,coal for electricity generation,p,PJ
oil,e_oil,oil for electricity generation,p,PJ
diesel,e_dies,diesel for electricity generation,p,PJ
u_nat,e_u_nat,uranium (natural) for electricity generation,p,PJ
u_enr,e_u_enr,uranium (enriched) for electricity generation,p,PJ
gasoline,e_gsl,gasoline for electricity generation,p,PJ
elc_tx,e_elc_tx,transmission-side electricity,p,PJ
elc_dx,e_elc_dx,distribution-side electricity,p,PJ
elcg,e_elcg,generated electricity (non-renewable),p,PJ
elcg_rps,e_elcg_rps,generated electricity (renewable),p,PJ
demand,d_elc,demand for electricity,d,PJ
co2e,e_co2eq,carbon-dioxide-equivalent,e,ktCO2eq
co2,e_co2,carbon dioxide,e,ktCO2
so2,e_so2,carbon dioxide,e,tSO2
nox,e_nox,carbon dioxide,e,tNOx
hg,e_hg,carbon dioxide,e,gHg
demand_int,d_elc_int,demanded for exogenous electricity from boundary interties,d,PJ
