code,base_tech,description,include_new,coders_existing,coders_equiv,atb_display_name,atb_master_sheet,atb_tsv_row,atb_scenario,atb_min_year,in_comm,out_comm,new_cap_batches,flag,tech_sets,include_fuel_cost,no_retirement,ccs
biogas,E_BIO_G,biogas generation,FALSE,biogas,biogas,,,,,2022,biogas,elc_dx,,pb,reserve,TRUE,FALSE,0
biomass,E_BIO_M,biomass generation,TRUE,biomass+msw,biomass,Biopower - Dedicated,Biopower,Dedicated,Moderate,2022,biomass,elc_tx,,p,reserve,TRUE,FALSE,0
biomass_cg,E_BIO_M_CG,biomass heat and power cogeneration,FALSE,biomass_cg,biomass_cg,Biopower - Dedicated,Biopower,Dedicated,Moderate,2022,biomass,elc_dx,,p,reserve,TRUE,FALSE,0
coal,E_COAL,coal generation,FALSE,coal,coal,Coal-new,Coal_FE,Coal-new,Moderate,2022,coal,elc_tx,,p,reserve,TRUE,FALSE,0
coal_ccs,E_COAL_CCS,coal generation with 95% ccs,FALSE,coal_ccs,coal_ccs,Coal-95%-CCS,Coal_FE,Coal-CCS-95%,Moderate,2022,coal,elc_tx,,p,reserve,TRUE,FALSE,0.95
diesel_ct,E_DSL_CT,diesel combustion turbine generation,FALSE,diesel_ct,diesel_ct,,,,,2022,diesel,elc_tx,,p,reserve,TRUE,FALSE,0
diesel_st,E_DSL_ST,diesel steam turbine generation,FALSE,diesel_st,diesel_st,,,,,2022,diesel,elc_tx,,p,reserve,TRUE,FALSE,0
geothermal,E_GEO,geothermal generation,FALSE,geothermal,geothermal,Geothermal - Hydro / Flash,,,Moderate,2022,ethos,elc_tx,,p,reserve,TRUE,FALSE,0
gasoline_ct,E_GSL_CT,gasoline combustion turbine generation,FALSE,gasoline_ct,gasoline_ct,,,,,2022,gasoline,elc_tx,,p,reserve,TRUE,FALSE,0
hydro_daily,E_HYD_DLY,hydroelectric generation with daily reservoir storage,FALSE,hydro_daily,hydro_daily,,,,,2022,ethos,elc_tx,,p,reserve,TRUE,TRUE,0
hydro_monthly,E_HYD_MLY,hydroelectric generation with monthly reservoir storage,FALSE,hydro_monthly,hydro_monthly,,,,,2022,ethos,elc_tx,,p,reserve,TRUE,TRUE,0
hydro_run,E_HYD_ROR,hydroelectric run-of-river generation,FALSE,hydro_run,hydro_run,,,,,2022,ethos,elc_dx,,p,"curtail,reserve",TRUE,TRUE,0
ng_cc,E_NG_CC,natural gas combined cycle generation,TRUE,ng_cc,ng_cc,NG 2-on-1 Combined Cycle (H-Frame),Natural Gas_FE,NG 2x1 H-Frame CC,Moderate,2022,ng,elc_tx,,p,reserve,TRUE,FALSE,0
ng_ccs,E_NG_CCS,natural gas combined cycle generation with 95% ccs,TRUE,ng_ccs,ng_ccs,NG 2-on-1 Combined Cycle (H-Frame) 95% CCS,Natural Gas_FE,NG 2x1 H-Frame CC 95% CCS,Moderate,2022,ng,elc_tx,,p,reserve,TRUE,FALSE,0.95
ng_cg,E_NG_CG,natural gas heat and power cogeneration,FALSE,ng_cg,ng_cg,,,,,2022,ng,elc_dx,,p,"reserve,annual",TRUE,FALSE,0
ng_ct,E_NG_CT,natural gas combustion turbine generation,TRUE,ng_sc+ng_ct+gas_ct,ng_sc,NG Combustion Turbine (F-Frame),Natural Gas_FE,NG F-Frame CT,Moderate,2022,ng,elc_tx,,p,reserve,TRUE,FALSE,0
nuclear_candu,E_NUC_CANDU,nuclear candu generation,FALSE,nuclear,nuclear,,,,,2022,u_nat,elc_tx,,pb,reserve,TRUE,FALSE,0
nuclear_pwr,E_NUC_PWR,nuclear pressurised water reactor generation,TRUE,,nuclear,Nuclear - Large,Nuclear,Nuclear - Large,Moderate,2030,u_enr,elc_tx,,pb,reserve,TRUE,FALSE,0
nuclear_smr,E_NUC_SMR,nuclear small modular reactor generation,TRUE,nuclear_smr,nuclear_smr,Nuclear - Small,Nuclear,Nuclear - Small,Moderate,2030,u_enr,elc_tx,,pb,reserve,TRUE,FALSE,0
oil_ct,E_OIL_CT,oil combustion turbine generation,FALSE,oil_ct,oil_ct,,,,,2022,oil,elc_tx,,p,reserve,TRUE,FALSE,0
oil_st,E_OIL_ST,oil steam turbine generation,FALSE,oil_st,oil_st,,,,,2022,oil,elc_tx,,p,reserve,TRUE,FALSE,0
solar,E_SOL_PV,utility-scale solar photovoltaic generation,TRUE,solar_pv+solar,solar_pv,Utility PV - Class 3,,,Moderate,2022,ethos,elc_tx,5,p,"curtail,reserve",TRUE,FALSE,0
wind_offshore,E_WND_OFF,offshore wind generation,FALSE,wind_ofs,wind_offshore,Offshore Wind - Class 3,,,Moderate,2022,ethos,elc_tx,,p,"curtail,reserve",TRUE,FALSE,0
wind_onshore,E_WND_ON,onshore wind generation,TRUE,wind_ons,wind_onshore,Land-Based Wind - Class 7 - Technology 1,,,Moderate,2022,ethos,elc_tx,13,p,"curtail,reserve",TRUE,FALSE,0
