region,coders_equivs,description,endogenous,include_demand
AB,alberta.a+alberta+ab,alberta,FALSE,TRUE
BC,british columbia.a+british columbia+bc,british columbia,FALSE,TRUE
MB,manitoba.a+manitoba+mb,manitoba,FALSE,TRUE
NB,new brunswick.a+new brunswick+nb,new brunswick,FALSE,TRUE
NLLAB,newfoundland and labrador.a+newfoundland and labrador.b+newfoundland and labrador+newfoundland island+newfoundland labrador+nllab+nl,newfoundland and labrador,FALSE,TRUE
NS,nova scotia.a+nova scotia+ns,nova scotia,FALSE,TRUE
ON,ontario.b+ontario.a+ontario+ontario north+ontario south+on,ontario,TRUE,TRUE
PEI,prince edward island.a+prince edward island+pei+pe,prince edward island,FALSE,TRUE
QC,quebec.a+quebec.b+québec+quebec south+quebec north+qc-hvdc+qc,quebec,FALSE,TRUE
SK,saskatchewan.a+saskatchewan+saskatchewan north+saskatchewan south+sk+saskatachewan,saskatchewan,FALSE,TRUE
USA,isone(highgate),,,
USA,isone(hvdc),,,
USA,isone(maine),,,
USA,maine,,,
USA,michigan,,,
USA,minnesota,,,
USA,minnesota/dakota,,,
USA,miso(dakota),,,
USA,miso(michigan),,,
USA,miso(minnesota),,,
USA,montana,,,
USA,new england,,,
USA,new york,,,
USA,new york niagara,,,
USA,new york st. lawrence,,,
USA,nmisa(northernmaine),,,
USA,north dakota,,,
USA,northern maine,,,
USA,nyiso(hq),,,
USA,nyiso(west),,,
USA,us(montana),,,
USA,us(northwest),,,
USA,washington,,,
