,cc
nuclear_candu,0.7969750916754158
nuclear_pwr,0.7969750916754158
nuclear_smr,0.7969750916754158
hydro_annual,0.5629469425958803
hydro_monthly,0.5629469425958803
hydro_daily,0.5629469425958803
hydro_run,0.5629469425958803
coal,0.880405054135304
coal_ccs,0.880405054135304
diesel_ct,0.880405054135304
diesel_st,0.880405054135304
gasoline_ct,0.880405054135304
ng_cc,0.880405054135304
ng_ccs,0.880405054135304
ng_cg,0.880405054135304
ng_ct,0.880405054135304
oil_ct,0.880405054135304
oil_st,0.880405054135304
wind_offshore,0.14755256647399434
wind_onshore,0.14755256647399434
biogas,0.8290344361917622
biomass,0.8290344361917622
biomass_cg,0.8290344361917622
solar,0.13775207095640532
