,cc
nuclear_candu,0.7838019730470609
nuclear_pwr,0.7838019730470609
nuclear_smr,0.7838019730470609
hydro_annual,0.5972247327078155
hydro_monthly,0.5972247327078155
hydro_daily,0.5972247327078155
hydro_run,0.5972247327078155
coal,0.8578531564925247
coal_ccs,0.8578531564925247
diesel_ct,0.8578531564925247
diesel_st,0.8578531564925247
gasoline_ct,0.8578531564925247
ng_cc,0.8578531564925247
ng_ccs,0.8578531564925247
ng_cg,0.8578531564925247
ng_ct,0.8578531564925247
oil_ct,0.8578531564925247
oil_st,0.8578531564925247
wind_offshore,0.14879265831137772
wind_onshore,0.14879265831137772
biogas,0.8884239888423989
biomass,0.8884239888423989
biomass_cg,0.8884239888423989
solar,0.13775207095640532
